,,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Iran,,645,633,653,620,660,789,780,781,911,921,921,1121,530,530,530,530,530,530,530,530,530,720,720,1089.3,1161.7,1183.7,1167.7,1242,1358,1447.8,1474,1484,1484,1474,1474,1474,1451,1451,1451,1451,1451,1451,1451
Iraq,,104,103,102,99,99,169,169,169,169,169,169,169,169,169,169,319,319,319,319,319,319,319,318.5,318.5,347.5,347.5,347.5,347.5,347.5,347.5,347.5,417.5,417.5,417.5,587.5,597.5,597.5,597.5,597.5,597.5,637.5,637.5,637.5
Israel,,107,132,140,147,212,201,181,201,201,195,195,190,190,190,190,170,170,180,180,180,180,180,208,221,208,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
Jordan,,7,16,11,15,14,21,21,24,30,30,21,36,91,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4,90.4
Kuwait,,489,504,644,647,646,646,685,685,712,712,645,645,623,623,623,669,634,618,628,817,819,819,819,368,624,759,801,824,886,886,864.5,763.8,773.3,889.2,889.2,889.2,889.2,889.2,889.2,889.2,936,936,936
Lebanon,,38,55,55,54,54,54,54,0,53,53,53,52,52,52,52,17,17,37,37,37,37,38,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,0,0,0,0,0,0,0
Oman,,0,0,0,0,0,0,0,0,0,0,0,0,0,46,48,50,48,48,77,77,77,77,80,80,76,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Palestinian Territories,,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,,0.7,0.9,0.6,0.7,1,7,7,9,10,11,11,13,13,12,63,56,56,62,62,62,62,62,60,60,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,57.5,200,200,200,200,200,200,200,338.7,338.7,338.7
Saudi Arabia,,377,906,507,428,428,610,537,603,586,487,487,487,487,705,860,840,1115,1125,1375,1375,1484,1863,1862.5,1862.5,1614,1661.2,1655.7,1655.7,1650.7,1685,1710,1745,1745,1745,1745,1745,2095,2095,2080,2080,2080,2080,2112
Syria,,59,59,54,51,51,50,117,117,102,223,223,223,233,229,229,229,229,229,229,244,244,237,237.394,237.394,242.14,242.14,242.14,245.89,242.14,242.14,242.14,242.14,242.14,239.865,239.865,239.865,239.865,239.865,239.865,239.865,239.865,239.865,239.865
United Arab Emirates,,0,0,0,0,0,0,0,15,15,15,14,14,128,135,185,185,185,185,180,180,180,193,192.5,192.5,192.5,192.5,212.8,212.8,286.8,287.8,428.5,443.5,514.75,514.25,514.25,514.25,781.25,781.25,781.25,781.25,773.25,773.25,773.25
Yemen,,178,178,178,160,162,169,169,169,143,143,175,175,178,178,130,178,162,180,180,172,172,172,114.5,114.5,120,120,120,120,120,120,120,130,130,130,130,130,130,140,140,140,140,140,140
Africa,,765,907,903,827,1105,1245,1328,1480,1467,1666,1666,1697,1763,1883,1880,2449,2521,2524,2631,2789,2824,2874,2866.403,2939.003,2859.641,2826.356,2824.971,2849.025,2930.251,3006.352,3044.152,3265.092,3202.262,3213.262,3223.762,3230.362,3230.362,3212.112,3278.382,3278.382,3278.382,3219.632,3217.632
Algeria,,48,48,48,61,115,115,122,122,122,122,122,122,122,137,137,465,465,465,465,465,465,465,464.7,530,530,465,465,465,482.76,502.665,502.665,502.665,450,450,450,450,450,450,450,450,450,450,450
Angola,,14,14,14,16,25,36,35,32,31,32,36,31,32,32,32,32,32,32,32,32,32,38,32.1,32.1,32.1,32.1,32.1,32.1,32.1,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Benin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,,0,0,0,0,0,0,0,0,0,0,0,0,43,43,41,43,43,43,43,42,43,42,42,42,42,42,42,42,44.661,35,35,42,42,42,42,42,42,42,37,37,37,37,37
Cape Verde,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),,13,33,17,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
Congo (Kinshasa),,0,0,0,16,16,16,16,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,15,15,0,0,0,0,0,0,0,0,0
Cote dIvoire (IvoryCoast),,19,19,23,24,44,43,40,75,39,39,50,50,50,90,90,90,90,73,60,60,69,69,69,69,62.8,64.4,64,64,73.19,69,69,65.2,65.2,65.2,65.2,65.2,65.2,65.2,63.99,63.99,63.99,63.99,63.99
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,,175,175,210,99,180,180,180,236,234,251,234,292,292,341,369,369,434,452,452,489,489,523,523.453,532.153,532.153,532.153,532.153,546.06,546.06,577.76,577.76,726.25,726.25,726.25,726.25,726.25,726.25,726.25,726.25,726.25,726.25,726.25,726.25
Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,18,18,18,18,18,18,14.564,14.564,14.564,14.564,14.564,14.564,14.564,14.564,14.564,14.564,14.564
Ethiopia,,11,13,14,15,14,14,14,14,14,14,14,14,14,14,15,15,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,,13,17,17,17,17,17,20,20,20,20,20,20,20,20,20,20,23,16,23,24,24,24,24,24,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,17.3,24,24,24,24,24
"Gambia, The",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,,29,28,28,27,25,28,28,27,27,26,26,26,27,27,28,28,28,28,28,27,27,27,26.6,26.6,26.6,25.315,25.315,26.6,26.6,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,,44,50,51,48,48,48,86,86,95,95,95,95,79,79,79,95,95,95,90,90,95,90,90,90,90,90,90,85.5,85.5,90,70,90,90,90,85.5,85.5,85.5,85.5,90,90,90,90,90
Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,,10,10,10,13,10,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Libya,,10,10,10,17,16,76,76,135,135,137,138,142,130,130,125,330,330,329,329,329,329,348,348.4,348.4,348.4,348.4,348.4,348.4,348.4,348.4,348.4,343.4,343.4,343.4,343.4,380,380,378,378,378,378,378,378
Madagascar,,13,12,14,15,15,15,16,16,16,11,11,11,11,16,16,16,16,16,16,16,16,16,16.35,16.35,16.35,16.35,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0
Malawi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,,35,35,37,59,59,59,68,68,72,72,72,72,72,74,74,80,81,81,155,155,155,155,154.6,154.6,154.6,154.6,155.388,155.6,151.83,156.83,156.63,156.63,154.901,154.901,154.901,154.901,154.901,154.901,154.901,154.901,154.901,154.901,154.901
Mozambique,,20,47,17,17,17,17,11,11,11,16,16,16,16,16,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,,46,55,55,60,60,60,57,60,60,159,160,160,254,260,247,250,250,250,270,415,433,433,433.25,433.25,433.25,433.25,433.25,433.25,438.75,438.75,438.75,438.75,438.75,438.75,438.75,438.75,438.75,438.75,505,505,505,445,445
Reunion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Helena,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,,13,12,13,12,18,15,12,19,20,20,20,20,18,18,18,30,30,30,30,30,24,24,24,22.6,22.6,17,17,17,17,17,17,27,27,27,27,27,27,27,25.03,25.03,25.03,25.03,25.03
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Somalia,,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0
South Africa,,184,263,251,243,331,397,434,434,446,478,479,469,424,424,389,389,389,389,434,434,434,431,430.5,430.5,364.038,401.038,401,414.15,465,468.547,466.547,473.547,468.547,489.547,519.547,489.547,504.547,488.297,485.297,485.297,485.297,486.547,484.547
Sudan and South Sudan,,21,20,21,20,22,22,24,24,24,26,26,24,24,24,24,24,24,24,21,21,25,22,21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,81.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7,121.7
Swaziland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,,14,13,17,17,17,16,16,12,12,17,17,12,14,17,17,14,14,14,14,14,14,17,17,17,17,17,15.865,15.865,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9
Togo,,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,,23,23,25,21,21,25,23,22,22,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Uganda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,21,25,25,23.75,23.75,23.75,23.75,24.5,24.5,24.5,24.5,24.5,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75,23.75
Zimbabwe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asia & Oceania,,5854,6472,7314,8404,9522,10234,10870,11462,11640,11934.9,12054.8,12431.8,12844.8,12961.9,12581.9,12606.9,12373.8,12643.9,12517.9,12263,12181,12562,13195.035,13395.252,13657.721,14417.766,14802.616,16286.761,16995.176,18771.841,19643.997,20165.77,20183.86,20204.81,20037.71,20695.031,22205.517,22310.291,22214.251,22482.913,23527.629,24874.949,24918.362
Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,,594,640,699,633,681,722,707,706,709,708,725,743,742,716,722,697,623,626,637,644,675,706,703,698,705,704.65,732.725,771.25,762.115,807.125,812.35,846.5,848.25,848.25,754.975,754.975,701.55,704.659,707.059,696.346,724.736,757.158,760.148
Bangladesh,,0,0,31,31,31,30,30,31,31,31,31,31,31,31,22,31,31,31,31,31,31,31,31.2,31.2,31.2,31.2,31.2,31.2,31.2,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Bhutan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,,320,127,131,123,123,123,45,0,0,0,0,0,0,0,10,9,10,10,10,10,10,10,10,8.5,8.5,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6
Burma (Myanmar),,26,26,26,25,25,28,28,28,28,26,26,26,26,26,26,26,26,26,26,26,32,32,32,32,32,32,32,32,32,32,32,32,32,57,57,57,57,57,57,57,57,57,57
Cambodia,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,,300,420,480,500,600,850,1014,1398,1461,1578,1600,1810,1810,2000,2050,2150,2150,2200,2200,2200,2200,2200,2200,2200,2200,2867,2867,2867,2967,4346.8,4346.8,4346.8,4528.1,4528.1,4528.1,4649.589,6246,6246,6246,6446,6806,6806,6866
Cook Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,,0,0,0,30,30,30,30,30,30,32,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,43.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.9,67.9,67.9,67.9,60,60,62,67.9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,,446,429,437,489,499,555,564,568,564,626,557,557,557,753,779,705,867,991,1059,1051,1080,1122,1122.36,1046.827,1086.371,1086.371,1086.371,1086.371,1086.371,1141.511,1857.742,2113.24,2134.625,2134.625,2134.625,2254.625,2254.625,2255.54,2255.54,2255.54,2835.54,4000.488,4042.761
Indonesia,,268,251,420,424,428,428,428,428,528,528,528,445,498,341,387,631,636,636,714,714,714,814,860.2,860.2,860.2,804.745,804.745,804.745,929.745,929.745,992.745,992.745,992.745,992.745,992.745,992.745,992.745,992.745,992.745,992.745,1011.825,1011.825,1011.825
Japan,,3140,3699,3816,4526,5152,5346,5629,5760,5671,5677,5708,5662,5809,5731,5173,4966,4723,4790,4567,4363,4198,4383,4612.45,4740.65,4810.15,4846.65,4866.95,4989.02,4966.02,5059.46,4997.66,4962.085,4786.34,4766.94,4702.94,4706.94,4671.94,4676.69,4650.7,4690.7,4623.69,4729.89,4729.89
Kiribati,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Korea, North",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,42,42,42,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
"Korea, South",,180,250,220,430,420,425,435,424,475,542,601,607,755,755,776,776,782,862,820,880,867,867,1163.1,1147.1,1147.1,1169.9,1244,2211.25,2540.1,2540.1,2540.1,2560.1,2560.1,2560.1,2544,2576.5,2576.5,2576.5,2576.5,2606.5,2701.5,2721.5,2759.5
Laos,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,,0,0,0,0,0,0,123,168,168,140,172,177,175,175,205,205,212,212,212,209,209,210,209.5,263,269.8,286.4,320.7,330,370.7,474.4,524.4,513.6,514.5,516,516,544.832,544.832,544.832,514.832,514.832,514.832,538.582,538.582
Maldives,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongolia,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,,66,66,68,54,54,54,54,54,74,74,74,74,74,74,74,53,53,54,82,88,95,95,95.1,84.3,92.5,89,91.2,91.2,91.2,98,98,106,106,106,103.55,103.55,103.55,103.55,107,107,107,107,107
Niue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,,107,115,117,81,81,79,74,74,106,110,98,122,133,133,126,129,130,130,130,130,121,121,120.975,120.975,132.9,138.85,137.325,137.325,137.325,138.85,143.35,238.85,238.85,233.85,268.975,268.975,268.975,268.975,266.675,276.05,286.306,286.306,186.306
Papua New Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5
Philippines,,182,205,221,276,284,274,247,251,253,253,253,246,286,286,286,286,216,286,286,254,284,279,287.1,278.45,278.75,280.35,323.05,323.05,323.05,389,401,419.5,419.5,419.5,333,333,333,333,282,282,273,273,273
Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Singapore,,0,0,299,390,700,846,923,918,918,918,921,1069,1096,1096,1101,1072,1018,961,858,852,830,878,893,1029,1055,1091,1170,1157,1157,1172,1255,1270,1258.5,1258.5,1318.6,1336.6,1336.6,1336.6,1344,1344,1357,1357,1357
Solomon Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,,44,30,43,37,38,34,38,38,38,38,38,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,47.5,47.5,47.5,47.5,47.5,50,50,47.5,47.5,47.5,50,50,50,50,50,50,50
Taiwan,,119,118,220,199,210,244,335,425,425,425,425,515,515,515,515,543,543,543,600,570,570,543,542.5,542.5,542.5,542.5,542.5,770,770,770,770,920,920,920,920,1220,1220,1290,1290,1290,1310,1310,1310
Thailand,,62,96,86,156,166,166,166,161,161,161,186,186,176,176,176,172,192,192,192,191,215,221,220.55,220.55,313.75,346.55,425.75,558.25,704.25,712.75,712.75,681.75,681.75,703.1,703.1,703.1,703.1,729.1,729.1,729.1,584.1,584.1,584.25
Timor-Leste (East Timor),,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0
Tonga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U.S. Pacific Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,140
Wake Island,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,,46764.773,51590.928,54790.868,57865.946,62703.336,66098.51,69511.421,72294.172,74670.524,75614.185,76783.421,78471.82,77608.029,74179.732,72240.041,72027.669,69463.748,69414.413,70458.318,70003.874,70562.966,72050.427,75432.655,73108.842,73072.978,74245.663,74393.92,75986.492,78030.467,80084.292,81528.691,81316.421,81444.216,81995.155,82258.336,82795.393,85344.983,85355.179,85460.07,85900.401,86970.671,88096.775,88004.209
